U5 amp,U5 ang,U8 amp,U8 ang,P5,Q5,P8,Q8,KS an,Time(0-10s),
0.963391654,21.66954492,0.990388315,26.99549265,0.331880133,0.184533622,-0.767764131,-0.110008881,Line6,,
0.963387444,21.65103091,0.990382957,26.97701627,0.331871977,0.184543984,-0.767768107,-0.109996989,Line6,,
0.963383315,21.63229419,0.990377696,26.95831365,0.331864245,0.184554098,-0.767771997,-0.109985325,Line6,,
0.963379263,21.61334301,0.990372527,26.93939361,0.331856883,0.184563979,-0.767775794,-0.109973888,Line6,,
0.963375284,21.59418549,0.990367446,26.92026484,0.331849836,0.18457364,-0.767779491,-0.109962677,Line6,,
0.963371372,21.57482969,0.990362447,26.90093597,0.331843049,0.184583099,-0.767783083,-0.109951689,Line6,,
0.963367523,21.55528356,0.990357526,26.8814155,0.331836465,0.184592373,-0.767786566,-0.109940921,Line6,,
0.963363731,21.53555493,0.990352677,26.86171186,0.331830028,0.184601481,-0.767789936,-0.109930365,Line6,,
0.96335999,21.51565156,0.990347894,26.84183333,0.331823683,0.18461044,-0.767793192,-0.109920017,Line6,,
0.963356296,21.49558112,0.990343171,26.8217881,0.331817378,0.18461927,-0.767796332,-0.109909869,Line6,,
0.963352642,21.47535119,0.990338501,26.80158425,0.331811061,0.184627987,-0.767799356,-0.109899913,Line6,,
0.963349022,21.45496925,0.99033388,26.78122971,0.331804684,0.184636612,-0.767802264,-0.109890139,Line6,,
0.963345433,21.4344427,0.990329301,26.76073232,0.331798203,0.18464516,-0.767805059,-0.109880538,Line6,,
0.963341867,21.41377888,0.990324757,26.74009978,0.331791578,0.184653649,-0.767807741,-0.109871101,Line6,,
0.963338322,21.39298502,0.990320244,26.71933966,0.331784773,0.184662094,-0.767810316,-0.109861817,Line6,,
0.963334791,21.3720683,0.990315757,26.69845942,0.331777755,0.18467051,-0.767812785,-0.109852676,Line6,,
0.963331271,21.3510358,0.99031129,26.67746638,0.331770499,0.18467891,-0.767815154,-0.109843668,Line6,,
0.963327758,21.32989454,0.990306839,26.65636775,0.331762982,0.184687307,-0.767817427,-0.109834781,Line6,,
0.963324248,21.30865148,0.9903024,26.6351706,0.331755187,0.18469571,-0.767819609,-0.109826007,Line6,,
0.963320739,21.28731349,0.990297969,26.61388189,0.331747105,0.184704129,-0.767821706,-0.109817336,Line6,,
0.963317228,21.2658874,0.990293543,26.59250845,0.331738727,0.184712571,-0.767823723,-0.109808758,Line6,,
0.963313714,21.24437993,0.99028912,26.57105702,0.331730054,0.184721041,-0.767825667,-0.109800265,Line6,,
0.963310194,21.22279778,0.990284698,26.54953419,0.331721089,0.184729544,-0.767827542,-0.109791849,Line6,,
0.963306669,21.20114755,0.990280275,26.52794646,0.331711842,0.184738081,-0.767829356,-0.109783502,Line6,,
0.963303137,21.17943581,0.990275851,26.50630021,0.331702325,0.184746653,-0.767831112,-0.109775218,Line6,,
