Time;Voltage
11,66;1,0398215
11,67;1,039821571
11,68;1,039821657
11,69;1,039821758
11,7;1,039821874
11,71;1,039822005
11,72;1,039822151
11,73;1,039822313
11,74;1,039822488
11,75;1,039822679
11,76;1,039822883
11,77;1,039823102
11,78;1,039823335
11,79;1,039823582
11,8;1,039823842
11,81;1,039824116
11,82;1,039824402
11,83;1,039824701
11,84;1,039825013
11,85;1,039825336
11,86;1,039825672
11,87;1,03982602
11,88;1,039826379
11,89;1,03982675
11,9;1,039827133
11,91;1,039827527
11,92;1,039827933
11,93;1,039828351
11,94;1,03982878
11,95;1,039829221
11,96;1,039829674
11,97;1,039830139
11,98;1,039830616
11,99;1,039831106
12;1,039831607
12,01;1,039832121
12,02;1,039832647
12,03;1,039833185
12,04;1,039833735
12,05;1,039834297
12,06;1,03983487
12,07;1,039835455
12,08;1,039836052
12,09;1,039836659
12,1;1,039837276
12,11;1,039837903
12,12;1,039838541
12,13;1,039839187
12,14;1,039839842
12,15;1,039840505
12,16;1,039841176
12,17;1,039841854
12,18;1,03984254
12,19;1,039843232
12,2;1,03984393
12,21;1,039844634
12,22;1,039845344
12,23;1,03984606
12,24;1,039846781
12,25;1,039847507
12,26;1,039848238
12,27;1,039848975
12,28;1,039849717
12,29;1,039850463
12,3;1,039851215
12,31;1,039851972
12,32;1,039852734
12,33;1,039853502
12,34;1,039854274
12,35;1,039855052
12,36;1,039855836
12,37;1,039856624
12,38;1,039857418
12,39;1,039858218
12,4;1,039859022
12,41;1,039859832
12,42;1,039860647
12,43;1,039861467
12,44;1,039862291
12,45;1,03986312
12,46;1,039863954
12,47;1,039864792
12,48;1,039865635
12,49;1,039866481
12,5;1,039867331
12,51;1,039868185
12,52;1,039869043
12,53;1,039869903
12,54;1,039870768
12,55;1,039871635
12,56;1,039872506
12,57;1,039873379
12,58;1,039874256
12,59;1,039875135
12,6;1,039876017
12,61;1,039876902
12,62;1,03987779
12,63;1,03987868
12,64;1,039879572
12,65;1,039880468
12,66;1,039881365
12,67;1,039882265
12,68;1,039883167
12,69;1,039884071
12,7;1,039884976
12,71;1,039885883
12,72;1,039886792
12,73;1,039887702
12,74;1,039888613
12,75;1,039889525
12,76;1,039890438
12,77;1,039891351
12,78;1,039892264
12,79;1,039893177
12,8;1,03989409
12,81;1,039895002
12,82;1,039895914
12,83;1,039896826
12,84;1,039897736
12,85;1,039898646
12,86;1,039899555
12,87;1,039900462
12,88;1,039901369
12,89;1,039902274
12,9;1,039903179
12,91;1,039904082
12,92;1,039904984
12,93;1,039905886
12,94;1,039906786
12,95;1,039907685
12,96;1,039908584
12,97;1,039909482
12,98;1,039910379
12,99;1,039911275
13;1,03991217
13,01;1,039913065
13,02;1,039913959
13,03;1,039914852
13,04;1,039915744
13,05;1,039916635
13,06;1,039917525
13,07;1,039918414
13,08;1,039919302
13,09;1,039920189
13,1;1,039921074
13,11;1,039921958
13,12;1,03992284
13,13;1,03992372
13,14;1,039924599
13,15;1,039925475
13,16;1,039926349
13,17;1,039927221
13,18;1,03992809
13,19;1,039928957
13,2;1,039929821
13,21;1,039930683
13,22;1,039931542
13,23;1,039932399
13,24;1,039933252
13,25;1,039934103
13,26;1,03993495
13,27;1,039935795
13,28;1,039936637
13,29;1,039937475
13,3;1,039938311
13,31;1,039939144
13,32;1,039939973
13,33;1,039940799
13,34;1,039941622
13,35;1,039942442
13,36;1,039943258
13,37;1,039944071
13,38;1,03994488
13,39;1,039945686
13,4;1,039946488
13,41;1,039947286
13,42;1,039948081
13,43;1,039948871
13,44;1,039949658
13,45;1,039950442
13,46;1,039951221
13,47;1,039951996
13,48;1,039952767
13,49;1,039953534
13,5;1,039954297
13,51;1,039955056
13,52;1,039955811
13,53;1,039956562
13,54;1,039957309
13,55;1,039958052
13,56;1,039958792
13,57;1,039959527
13,58;1,039960258
13,59;1,039960986
13,6;1,039961709
13,61;1,039962429
13,62;1,039963145
13,63;1,039963858
13,64;1,039964566
13,65;1,039965271
13,66;1,039965971
13,67;1,039966668
13,68;1,039967361
13,69;1,03996805
13,7;1,039968735
13,71;1,039969416
13,72;1,039970093
13,73;1,039970766
13,74;1,039971434
13,75;1,039972098
13,76;1,039972758
13,77;1,039973413
13,78;1,039974064
13,79;1,039974711
13,8;1,039975352
13,81;1,039975989
13,82;1,039976622
13,83;1,039977249
13,84;1,039977872
13,85;1,03997849
13,86;1,039979103
13,87;1,039979712
13,88;1,039980316
13,89;1,039980915
13,9;1,039981509
13,91;1,039982098
13,92;1,039982683
13,93;1,039983263
13,94;1,039983838
13,95;1,039984409
13,96;1,039984975
13,97;1,039985536
13,98;1,039986093
13,99;1,039986645
14;1,039987192
14,01;1,039987734
14,02;1,039988273
14,03;1,039988806
14,04;1,039989335
14,05;1,039989859
14,06;1,039990379
14,07;1,039990893
14,08;1,039991404
14,09;1,039991909
14,1;1,03999241
14,11;1,039992907
14,12;1,039993399
14,13;1,039993886
14,14;1,039994369
14,15;1,039994847
14,16;1,03999532
